Type,Simulation,case,tau_setup,lossValue,predictionAccuracy,avg_tau,stddev_tau,avg_each_local,stddev_each_local,avg_each_global,stddev_each_global,avg_betaAdapt,stddev_betaAdapt,avg_deltaAdapt,stddev_deltaAdapt,avg_rhoAdapt,stddev_rhoAdapt,total_time_recomputed
Type,Simulation,case,tau_setup,lossValue,predictionAccuracy,avg_tau,stddev_tau,avg_each_local,stddev_each_local,avg_each_global,stddev_each_global,avg_betaAdapt,stddev_betaAdapt,avg_deltaAdapt,stddev_deltaAdapt,avg_rhoAdapt,stddev_rhoAdapt,total_time_recomputed
distributed,1,0,1,0.246499612,0.8453,1,0,0.012364413,0.006519036,0.133276991,0.058613258,nan,nan,nan,nan,nan,nan,15.00106465
distributed,1,0,2,0.233057183,0.8567,1.99,0.13931928,0.012754636,0.004711399,0.123200004,0.055194818,nan,nan,nan,nan,nan,nan,14.97851789
distributed,1,0,3,0.229951664,0.8611,2.984435798,0.299733444,0.01328908,0.003790456,0.13429204,0.052559831,nan,nan,nan,nan,nan,nan,15.10252756
distributed,1,0,5,0.226948052,0.8672,4.978082192,0.474514861,0.013146294,0.003185803,0.13965855,0.058211403,nan,nan,nan,nan,nan,nan,15.15151662
distributed,1,0,7,0.226099404,0.8648,6.959641256,0.820448715,0.013313879,0.002243671,0.138801175,0.057454911,nan,nan,nan,nan,nan,nan,14.92439293
distributed,1,0,10,0.224058439,0.8709,9.969594595,1.602705318,0.012910457,0.002177599,0.12467815,0.053763706,nan,nan,nan,nan,nan,nan,15.1653504
distributed,1,0,20,0.22360725,0.8726,19.94864865,3.041267413,0.012945769,0.001229759,0.138821407,0.05304526,nan,nan,nan,nan,nan,nan,14.88350088
distributed,1,0,30,0.22310021,0.8716,29.93111639,7.233870948,0.012325857,0.002131429,0.135647965,0.049255999,nan,nan,nan,nan,nan,nan,14.7912315
distributed,1,0,50,0.223140988,0.8724,49.29247312,11.39517442,0.013462002,0.003581159,0.157761782,0.052807001,nan,nan,nan,nan,nan,nan,14.96953515
distributed,1,0,70,0.222829494,0.8731,69.85918367,17.19560667,0.013888986,0.00243599,0.135810812,0.049667711,nan,nan,nan,nan,nan,nan,15.03944407
distributed,1,0,100,0.222912112,0.8732,99.80239521,36.89512163,0.014620481,0.004030435,0.128409415,0.057886843,nan,nan,nan,nan,nan,nan,14.83339619
distributed,1,1,-1,0.228000954,0.8651,8.363247863,2.480097679,0.012682362,0.002414135,0.150438459,0.056072554,14.94788883,2.590165486,1.41612935,0.25254625,0.913391361,0.231019897,15.1473108
distributed,1,1,1,0.24488955,0.8448,1,0,0.012563168,0.006242276,0.124938495,0.051014789,nan,nan,nan,nan,nan,nan,15.12518295
