Type,Simulation,case,tau_setup,lossValue,predictionAccuracy,avg_tau,stddev_tau,avg_each_local,stddev_each_local,avg_each_global,stddev_each_global,avg_betaAdapt,stddev_betaAdapt,avg_deltaAdapt,stddev_deltaAdapt,avg_rhoAdapt,stddev_rhoAdapt,total_time_recomputed
distributed,0,1,-1,0.419056235974034,0.8885999995470049,6.497076023391813,1.7269789055894333,0.02171775690371196,0.003906340894467229,0.12965261751326967,0.04596359375113896,76.59637670503243,7.922745894330073,11.636952477685838,1.9879732651240654,3.4782650370919272,1.1698364338395584,14.90422797719121,
distributed,0,1,1,0.5610752715418734,0.8601000016927718,1.0,0.0,0.02082970771537212,0.007538742847244716,0.13100868563254628,0.04473658077164738,nan,nan,nan,nan,nan,nan,15.032000941443929,
distributed,0,1,2,0.4875934643050033,0.8727999997138982,1.9885057471264367,0.14903269373413638,0.022167239170570858,0.005960711715617556,0.12741283128184755,0.050395837041754536,nan,nan,nan,nan,nan,nan,15.055676952473114,
distributed,0,1,3,0.43194338850677,0.8882999992370604,2.982832618025751,0.31416895306305964,0.02191924009803616,0.0047933287127715505,0.12608505752031732,0.04588202155720158,nan,nan,nan,nan,nan,nan,15.050885553130628,
distributed,0,1,5,0.4064976868281762,0.89259999871254,4.974763406940063,0.6907675175582662,0.022200256676568365,0.002945823326306551,0.12405568282702178,0.04199596452740047,nan,nan,nan,nan,nan,nan,15.120898290773072,
distributed,0,1,7,0.4144938112547001,0.8885000032186507,6.9665738161559885,1.1433401817013673,0.021099998129846313,0.0031463005785970504,0.1391977138863809,0.038408768496597544,nan,nan,nan,nan,nan,nan,15.01338857141761,
distributed,0,1,10,0.4115297478189071,0.8848000031709669,9.931506849315069,1.3888444437333105,0.02223318425088375,0.0022371204252356466,0.11727383441935467,0.04456256121667538,nan,nan,nan,nan,nan,nan,15.051347594614201,
distributed,0,1,20,0.42626270358761165,0.8800000011920927,19.929889298892988,4.8145143220221085,0.021189960621378245,0.0038622202640722497,0.11825163905543039,0.05065452753834051,nan,nan,nan,nan,nan,nan,15.204138899759688,
distributed,0,1,30,0.47581241212785225,0.8619999998807903,29.612099644128115,6.518435395092905,0.021317561581289914,0.003251451626557112,0.13438885540984896,0.04830738486712812,nan,nan,nan,nan,nan,nan,15.04205593229286,
distributed,0,1,50,0.507066478654742,0.8522000032663348,49.13680781758958,15.216800596977123,0.021302774307462673,0.0011790688811862677,0.12832840799422665,0.050778250653324315,nan,nan,nan,nan,nan,nan,15.086422971672564,
distributed,0,1,70,0.5735386375586193,0.832599998116493,68.84193548387097,20.59611613872868,0.022421501812991317,0.0014688142237843096,0.11450180786992795,0.06155080770656406,nan,nan,nan,nan,nan,nan,14.782707741905153,
distributed,0,1,100,0.6187605553865441,0.8118999958038331,96.12462006079028,33.78146681244022,0.020472587322689438,0.004311898027605965,0.11315485297914304,0.040800123518265174,nan,nan,nan,nan,nan,nan,15.28683979201552,
distributed,0,2,-1,0.4367031630376972,0.8860000002384184,76.83333333333333,35.608987629529715,0.09092494569810715,0.012203927524225281,0.18047438160119858,0.050127565416913634,0.2452742208572627,0.4905284417145253,8.252349249091706e-08,2.8322217137079852e-08,0.0,0.0,15.005433653811789,
distributed,0,2,1,0.884705006579558,0.7725999999046325,1.0,0.0,0.09534988904632198,0.0166482463171197,0.14839801818499493,0.06868261794444733,nan,nan,nan,nan,nan,nan,15.11237024834165,
distributed,0,2,2,0.68666572769483,0.8015000009536745,1.9772727272727273,0.20608041101101562,0.09390269070543433,0.013270103100149595,0.15408040202410292,0.0602228788095161,nan,nan,nan,nan,nan,nan,15.17557452144396,
distributed,0,2,3,0.5938516591489319,0.8490999996662141,2.95959595959596,0.3731934570720447,0.0954919153086388,0.008812591943094045,0.16658174854065355,0.0683611215722713,nan,nan,nan,nan,nan,nan,15.134410235519727,
distributed,0,2,5,0.5094266171505052,0.8627999997138978,4.915254237288136,0.96,0.09368056123467629,0.007693249187855173,0.15498202411469383,0.07691759906527325,nan,nan,nan,nan,nan,nan,15.054893774839043,
distributed,0,2,7,0.49364465432862403,0.8689999997615814,6.90625,1.8,0.0974302690636746,0.007784859021783928,0.1501372669090118,0.062435951111342626,nan,nan,nan,nan,nan,nan,15.320444500716018,
distributed,0,2,10,0.5236250607421005,0.8438999998569489,9.863636363636363,3.0594117081556713,0.09454290183479207,0.0072592593452516655,0.1521790987327637,0.06821895711378911,nan,nan,nan,nan,nan,nan,14.941905115196938,
distributed,0,2,20,0.48051138217250455,0.8633999979495999,19.732394366197184,7.899054483189432,0.09531717213069929,0.003986786956725742,0.15672304469626722,0.08566609728341933,nan,nan,nan,nan,nan,nan,14.775127461351811,
distributed,0,2,30,0.48022914310296394,0.8633999985456464,28.375886524822697,10.70436048222094,0.09345387457051585,0.008270633182665176,0.1540315519624063,0.058872527880442595,nan,nan,nan,nan,nan,nan,14.615832290675902,
distributed,0,2,50,0.4595274596909682,0.8740000003576281,49.35526315789474,24.004999479275146,0.10424410942802378,0.013490479039922922,0.1805296332943037,0.044257357635197385,nan,nan,nan,nan,nan,nan,15.194243060123176,
distributed,0,2,70,0.44113299059371164,0.8861999994516374,67.3013698630137,33.529837458597974,0.08243003433791415,0.028925197613164418,0.16396139345375352,0.04961089418787262,nan,nan,nan,nan,nan,nan,14.8537584899095,
